"";"PERNOME_P";"SERBASE";"TEMNOME_P";"FNTNOME_P";"SERCODIGOTROLL";"SERNOME_P";"QtdConsultas";"Posicao"
"1";"Diária";"Macroeconômico";"Financeiras";"JP Morgan";"JPM366_EMBI366";"EMBI + Risco-Brasil";3086;1
"2";"Diária";"Macroeconômico";"Câmbio";"Bacen Outras/SGS";"GM366_ERC366";"Taxa de câmbio - R$ / US$ - comercial - compra - média";809;2
"3";"Diária";"Macroeconômico";"Financeiras";"Bacen/Boletim/M. Finan.";"BM366_TJOVER366";"Taxa de juros - Selic - fixada pelo Copom";642;3
"4";"Diária";"Macroeconômico";"Câmbio";"Bacen Outras/SGS";"GM366_ERV366";"Taxa de câmbio - R$ / US$ - comercial - venda - média";510;4
"5";"Diária";"Macroeconômico";"Financeiras";"Bacen Outras/SGS";"GM366_TJOVER366";"Taxa de juros - Over / Selic";261;5
"6";"Diária";"Macroeconômico";"Câmbio";"BM&FBovespa";"BMF366_FUT3DOL366";"Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+3";219;6
"7";"Diária";"Macroeconômico";"Financeiras";"BM&FBovespa";"GM366_IBVSP366";"Índice de ações - Ibovespa - fechamento";177;7
"8";"Diária";"Macroeconômico";"Câmbio";"BM&FBovespa";"BMF366_FUT1DOL366";"Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+1";150;8
"9";"Diária";"Macroeconômico";"Câmbio";"BM&FBovespa";"BMF366_FUT6DOL366";"Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+6";87;9
"10";"Diária";"Macroeconômico";"Câmbio";"IPEA";"BMF366_FUT3DOLV366";"Taxa de câmbio - R$ / US$ - comercial - futuro: vencimento em t+3 - volatilidade";74;10
"11";"Diária";"Macroeconômico";"Câmbio";"Bacen Outras/SGS";"GM366_EUROV366";"Zona do Euro - taxa de câmbio - R$ / euro - venda - média";68;11
"12";"Diária";"Macroeconômico";"Câmbio";"IPEA";"GM366_ERVV366";"Taxa de câmbio - R$ / US$ - comercial - venda - média - volatilidade";58;12
"13";"Diária";"Macroeconômico";"Câmbio";"Bacen Outras/SGS";"GM366_EUROC366";"Zona do Euro - taxa de câmbio - R$ / euro - compra - média";49;13
"14";"Diária";"Macroeconômico";"Economia internacional";"EIA";"EIA366_PBRENT366";"Preço - pétroleo bruto - Brent (FOB)";45;14
"15";"Diária";"Macroeconômico";"Câmbio";"Bacen Outras/SGS";"GM366_EREURO366";"Zona do Euro - taxa de câmbio - euro / US$ - média";31;15
"16";"Diária";"Macroeconômico";"Câmbio";"Valor Econômico";"GM366_ERTUR366";"Taxa de câmbio - R$ / US$ - turismo - venda - média";30;16
