"";"SERCODIGOTROLL";"QtdConsultas";"Posicao";"SERSTATUS";"FNTID";"TEMID";"SERNOME_P";"SERDESCRICAO_P";"SERLIBERADA";"SERPRIVATIVA";"SERPRAZOATUALIZACAO";"SERINDICADORIPEA";"SERHISTORICA";"SERHISTORICO";"SERINDGER";"BANCO";"COND_EXIB";"GRANDE_TEMA"
"1";"GAC12_TCERXTS212";NA;NA;"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - produção florestal (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: produção florestal (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"2";"GAC12_TCERXTS312";NA;NA;"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - pesca e aqüicultura (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: pesca e aqüicultura (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"3";"GAC12_TCERXTS1812";NA;NA;"Ativa";"IPEA";"Câmbio";"Taxa de câmbio - efetiva real - impressão e reprodução de gravações (média 2010 = 100)";"Taxa de câmbio - efetiva real - setor: impressão e reprodução de gravações (média 2010 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 31/março/2017.";NA;"GAC12";"Internet";"Macro"
"4";"GAC12_CAIEX12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";"Consumo aparente - indústria extrativa - índice encadeado (média 2012 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 20/set/2017.";NA;"GAC12";"Internet";"Macro"
"5";"GAC12_CAIEXDESSAZ12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";"Consumo aparente - indústria extrativa - índice encadeado - dessaz (média 2002= 100)";"Não oculta";"Internet";120;1;0;"Incluída em 20/set/2017.";NA;"GAC12";"Internet";"Macro"
"6";"GAC12_INDFBCF12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";"Indicador IPEA de FBCF - índice encadeado (média1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"7";"GAC12_INDFBCFCC12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";"Indicador IPEA de FBCF - construção civil - índice encadeado (média1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"8";"GAC12_INDFBCFDESSAZ12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";"Indicador IPEA de FBCF - índice encadeado - dessaz (média 1995 = 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"9";"GAC12_INDFBCFCCDESSAZ12";NA;NA;"Ativa";"IPEA";"Contas nacionais";"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";"Indicador IPEA de FBCF - construção civil - índice encadeado - dessaz (média 1995= 100)";"Não oculta";"Internet";120;1;0;"Incluída em 290/set/2017.";NA;"GAC12";"Internet";"Macro"
"10";"DIMAC_INF1";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";"Taxa mensal de Inflação por faixa de renda  - Renda muito baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"11";"DIMAC_INF2";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda baixa";"Taxa mensal de Inflação por faixa de renda  - Renda baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"12";"DIMAC_INF3";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média-baixa";"Taxa mensal de Inflação por faixa de renda  - Renda média-baixa";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"13";"DIMAC_INF4";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média";"Taxa mensal de Inflação por faixa de renda  - Renda média";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"14";"DIMAC_INF5";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda média-alta";"Taxa mensal de Inflação por faixa de renda  - Renda média-alta";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"15";"DIMAC_INF6";NA;NA;"Inativa";"IPEA";"Preços";"Taxa mensal de Inflação por faixa de renda  - Renda alta";"Taxa mensal de Inflação por faixa de renda  - Renda alta";"Oculta";"Intranet";360;1;0;NA;NA;"DIMAC";"Oculta";"Macro"
"16";"DIMAC_ICTI1";NA;NA;"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - índice encadeado (Dez/2012 = 100)";"Índice de Custos da Tecnologia da Informação (ICTI) - índice encadeado (Dez/2012 = 100)";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"17";"DIMAC_ICTI2";NA;NA;"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - variação no mês";"Índice de Custos da Tecnologia da Informação (ICTI) - variação no mês";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"18";"DIMAC_ICTI3";NA;NA;"Inativa";"IPEA";"Preços";"Índice de Custos da Tecnologia da Informação (ICTI) - variação em 12 meses";"Índice de Custos da Tecnologia da Informação (ICTI) - variação em 12 meses";"Não oculta";"Internet";45;1;0;"Incluída em 10/abr/2018.";NA;"DIMAC";"Internet";"Macro"
"19";"BM12_RES12";NA;NA;"Ativa";"Bacen/Not. Imp./Set. Ext.";"Balanço de pagamentos";"Reservas internacionais";"Reservas internacionais";"Não oculta";"Internet";25;0;0;NA;NA;"BM12";"Internet";"Macro"
"20";"FENABRAVE12_ESTAUTO12";NA;NA;"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Automóveis - qde.";"Estoques de veículos nas concessionárias - Automóveis - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"21";"FENABRAVE12_ESTCOMLEVE12";NA;NA;"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Comerciais leves - qde.";"Estoques de veículos nas concessionárias - Comerciais leves - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"22";"FENABRAVE12_ESTCAMIN12";NA;NA;"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Caminhões - qde.";"Estoques de veículos nas concessionárias - Caminhões - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"23";"FENABRAVE12_ESTONIBUS12";NA;NA;"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Ônibus - qde.";"Estoques de veículos nas concessionárias - Ônibus - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"24";"FENABRAVE12_ESTVETOT12";NA;NA;"Inativa";"FENABRAVE";"Consumo e vendas";"Estoques de veículos nas concessionárias - Total - qde.";"Estoques de veículos nas concessionárias - Total - qde.";"Não oculta";"Internet";30;NA;NA;NA;NA;"FENABRAVE12";"Internet";"Macro"
"25";"ANFAVE12_LICVEN12";NA;NA;"Ativa";"Anfavea";"Produção";"Vendas de autoveículos no mercado interno";"Vendas de autoveículos no mercado interno";"Não oculta";"Internet";30;NA;NA;NA;NA;"ANFAVE12";"Internet";"Macro"
"26";"FUNCEX12_MDPBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"27";"FUNCEX12_MDPBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo não duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"28";"FUNCEX12_MDPBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens intermediários - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens intermediários (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"29";"FUNCEX12_MDPBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de capital - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas -  bens de capital (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"30";"FUNCEX12_MDPCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - combustíveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - combustíveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"31";"FUNCEX12_MDQBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo duráveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"32";"FUNCEX12_MDQBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo não duráveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de preços das importações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"33";"FUNCEX12_MDQBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens intermediários - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das importações  - grandes categorias econômicas - bens intermediários (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"34";"FUNCEX12_MDQBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de capital - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das importações  - grandes categorias econômicas - bens de capital (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"35";"FUNCEX12_MDQCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - combustíveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das importações  - grandes categorias econômicas - combustíveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"36";"FUNCEX12_MDVBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo duráveis - (FOB) (série nova)";"Valor FOB das importações  - grandes categorias econômicas - bens de consumo duráveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"37";"FUNCEX12_MDVBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de consumo não duráveis - (FOB) (série nova)";"Valor FOB das importações  - grandes categorias econômicas - bens de consumo não duráveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"38";"FUNCEX12_MDVBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens intermediários - (FOB) (série nova)";"Valor FOB das importações  - grandes categorias econômicas - bens intermediários";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"39";"FUNCEX12_MDVBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - bens de capital - (FOB) (série nova)";"Valor FOB das importações  - grandes categorias econômicas - bens de capital";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"40";"FUNCEX12_MDVCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Importações - combustíveis - (FOB) (série nova)";"Valor FOB das importações  - grandes categorias econômicas - combustíveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"41";"FUNCEX12_XPBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das exportações  - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"42";"FUNCEX12_XPBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo não duráveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das exportações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"43";"FUNCEX12_XPBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens intermediários - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das exportações  - grandes categorias econômicas - bens intermediários (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"44";"FUNCEX12_XPBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de capital - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das exportações  - grandes categorias econômicas - bens de capital (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"45";"FUNCEX12_XPCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - combustíveis - preços - índice (média 2006 = 100) (série nova)";"Índice de preços das exportações  - grandes categorias econômicas - combustíveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"46";"FUNCEX12_XQBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo duráveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das exportações  - grandes categorias econômicas - bens de consumo duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"47";"FUNCEX12_XQBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo não duráveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das exportações  - grandes categorias econômicas - bens de consumo não duráveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"48";"FUNCEX12_XQBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens intermediários - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das exportações  - grandes categorias econômicas - bens intermediários (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"49";"FUNCEX12_XQBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de capital - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das exportações  - grandes categorias econômicas - bens de capital (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"50";"FUNCEX12_XQCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - combustíveis - quantum - índice (média 2006 = 100) (série nova)";"Índice de quantum das exportações  - grandes categorias econômicas - combustíveis (média 2006 = 100)";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"51";"FUNCEX12_XVBCDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo duráveis - (FOB) (série nova)";"Valor FOB das exportações  - grandes categorias econômicas - bens de consumo duráveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"52";"FUNCEX12_XVBCNDGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de consumo não duráveis - (FOB) (série nova)";"Valor FOB das exportações  - grandes categorias econômicas - bens de consumo não duráveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"53";"FUNCEX12_XVBIGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens intermediários - (FOB) (série nova)";"Valor FOB das exportações  - grandes categorias econômicas - bens de consumo intermediários";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"54";"FUNCEX12_XVBKGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - bens de capital - (FOB) (série nova)";"Valor FOB das exportações  - grandes categorias econômicas - bens de capital";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"55";"FUNCEX12_XVCOMBGCE12";NA;NA;"Ativa";"Funcex";"Comércio exterior";"Exportações - combustíveis - (FOB) (série nova)";"Valor FOB das exportações  - grandes categorias econômicas - combustíveis";"Não oculta";"Internet";51;0;0;"Criada em 19/07/2016.";NA;"FUNCEX12";"Internet";"Macro"
"56";"CNI4_CEBEBIDASCR4";NA;NA;"Ativa";"CNI";"Produção";"Coeficiente de exportação - bebidas";"Coeficiente de exportação - bebidas";"Oculta";"Intranet";360;0;0;"Incluída em 13/set/2016.";NA;"CNI4";"Oculta";"Macro"
"57";"CCJ_5787";NA;NA;"Ativa";"CNI";"Produção";"CCJ_5787";"CCJ_5787";"Oculta";"Intranet";45;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"58";"CCJ_5788";NA;NA;"Ativa";"CNI";"Produção";"CCJ_5788";"CCJ_5788";"Oculta";"Intranet";45;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"59";"CCJ_5791";NA;NA;"Ativa";"CNI";"Produção";"CCJ_5791";"CCJ_5791";"Oculta";"Intranet";45;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"60";"CCJ_5792";NA;NA;"Ativa";"CNI";"Produção";"CCJ_5792";"CCJ_5792";"Oculta";"Intranet";45;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"61";"CCJ_1376";NA;NA;"Ativa";"CNI";"Produção";"13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008";"13762 - Dívida bruta do governo geral (% PIB) - Metodologia utilizada a partir de 2008";"Oculta";"Intranet";25;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"62";"CCJ_3695";NA;NA;"Ativa";"CNI";"Produção";"3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$";"3695 - Taxa de câmbio - Livre - Dólar americano (compra) - Fim de período - mensal - u.m.c./US$";"Oculta";"Intranet";25;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"63";"CCJ_3546";NA;NA;"Ativa";"CNI";"Produção";"3546 - Reservas internacionais - Conceito liquidez - Total - mensal - US$ (milhões)";"3546 - Reservas internacionais - Conceito liquidez - Total - mensal - US$ (milhões)";"Oculta";"Intranet";25;0;0;NA;NA;"CCJ";"Oculta";"Macro"
"64";"CCIV_21868";NA;NA;"Ativa";"CNI";"Produção";"Indicadores da produção (2012=100) - Insumos da construção civil";"Indicadores da produção (2012=100) - Insumos da construção civil";"Oculta";"Intranet";40;0;0;NA;NA;"CCIV";"Oculta";"Macro"
"65";"CCIV4_PIBCNSTCIV4";NA;NA;"Ativa";"CNI";"Produção";"PIB trimestral (2010=100) - Dados observados - Construção civil";"PIB trimestral (2010=100) - Dados observados - Construção civil";"Oculta";"Intranet";120;0;0;NA;NA;"CCIV4";"Oculta";"Macro"
"66";"ABIA12_ALIM12";76;116;"Ativa";"Abia";"Produção";"Produção física - alimentos - índice (média 1989 = 100)";"Produção física de alimentos - índice (média 1989 = 100)";"Não oculta";"Internet";330;0;0;NA;NA;"ABIA12";"Internet";"Macro"
"67";"ABINEE_VELETAA";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - aspiradores de ambiente - qde.";"Vendas industriais de aspiradores de ambiente: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"68";"ABINEE_VELETAP";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - aspiradores de pó - qde.";"Vendas industriais de aspiradores de pó: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"69";"ABINEE_VELETAR";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - auto-rádios - qde.";"Vendas industriais de auto-rádios: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"70";"ABINEE_VELETBB";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - batedeiras - qde.";"Vendas industriais de batedeiras: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"71";"ABINEE_VELETCA";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - circuladores de ar - qde.";"Vendas industriais de circuladores de ar: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"72";"ABINEE_VELETCE";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - cafeteiras - qde.";"Vendas industriais de cafeteiras: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"73";"ABINEE_VELETCR";1;1103;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - condicionadores de ar - qde.";"Vendas industriais de condicionadores de ar: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"74";"ABINEE_VELETE";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - enceradeiras - qde.";"Vendas industriais de enceradeiras: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"75";"ABINEE_VELETEF";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - espremedores de frutas - qde.";"Vendas industriais de espremedores de frutas: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"76";"ABINEE_VELETFA";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - ferros automáticos - qde.";"Vendas industriais de ferros automáticos de passar roupa: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"77";"ABINEE_VELETFC";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - fonógrafos combinados - qde.";"Vendas industriais de fonógrafos combinados: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"78";"ABINEE_VELETFG";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - fogões - qde.";"Vendas industriais de fogões a gás: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"79";"ABINEE_VELETFM";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - fornos de microondas - qde.";"Vendas industriais de fornos de microondas: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"80";"ABINEE_VELETFV";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - freezers verticais - qde.";"Vendas industriais de freezers verticais: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"81";"ABINEE_VELETGEL";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - refrigeradores - qde.";"Vendas industriais de refrigeradores: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"82";"ABINEE_VELETL";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - liquidificadores - qde.";"Vendas industriais de liquidificadores: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"83";"ABINEE_VELETMF";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - mini-fornos - qde.";"Vendas industriais de mini-fornos: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"84";"ABINEE_VELETPA";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - processadores de alimentos - qde.";"Vendas industriais de processadores de alimentos: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"85";"ABINEE_VELETRT";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - rádios transistorizados - qde.";"Vendas industriais de rádios transistorizados: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"86";"ABINEE_VELETSR";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - secadoras de roupas - qde.";"Vendas industriais de secadoras de roupas: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"87";"ABINEE_VELETTP";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - torradeiras - qde.";"Vendas industriais de torradeiras: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"88";"ABINEE_VELETTVC";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - televisores em cores - qde.";"Vendas industriais de televisores em cores: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"89";"ABINEE_VELETTVP";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - televisores em preto e branco - qde.";"Vendas industriais de televisores em preto e branco: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"90";"ABINEE_VELETV";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - ventiladores - qde.";"Vendas industriais de ventiladores: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
"91";"ABINEE_VELETVC";NA;NA;"Inativa";"Abinee";"Consumo e vendas";"Vendas industriais - videocassetes - qde.";"Vendas industriais de videocassetes: quantidade";"Não oculta";"Internet";0;0;0;NA;NA;"ABINEE";"Internet";"Macro"
